hour,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
0,50,457,1199,1706,0.9240326390453724,1.1915877033388431,2.00763942058099
1,28,309,884,1221,0.9518834075317215,1.1257232998849178,1.5708586378757206
2,33,266,575,874,0.8649750242589248,1.3538141331245803,2.586409247136581
3,28,187,489,704,0.913236698907917,1.1815654599368548,2.7244579500657027
4,22,177,433,632,0.9007784208326802,1.2457905370592601,2.3845165421913204
5,46,300,687,1033,0.8743867563718679,1.2918431086377546,3.0503680768540904
6,37,442,1414,1893,0.9820779292864352,1.0386291206206688,1.3388929266340546
7,46,900,3260,4206,1.019049985784076,0.9518358995883028,0.7491750412245068
8,50,1209,5339,6598,1.0638851947359755,0.8150848655392371,0.5191016749789586
9,55,931,3606,4592,1.0324546831372121,0.9018548417308562,0.8204564757539823
10,50,1066,3459,4575,0.9940463137804728,1.0364657272739566,0.7486410604395999
11,88,1104,4013,5205,1.0136676376510314,0.9434897342747178,1.1581283032967642
12,80,1339,4458,5877,0.9973131121970997,1.0134766002537179,0.9324574719104767
13,78,1348,4699,6125,1.0086639691867567,0.9789773383882097,0.872334897691008
14,92,1479,4990,6561,0.9999485694252541,1.0027368512312769,0.9605335233623764
15,94,1933,6562,8589,1.0044788084718055,1.0011014511016703,0.7496870137199905
16,95,1898,6686,8679,1.012846984507047,0.9727816267084823,0.7498055556943451
17,112,1965,7139,9216,1.0184555318186181,0.9484379611012743,0.8324732625200759
18,83,1616,5689,7388,1.0124094785833397,0.9729786468399413,0.7695661252718653
19,80,1255,4218,5553,0.9986793213637132,1.0053213180170566,0.9868634184076843
20,78,977,3093,4148,0.9803661957690305,1.0477186039896145,1.2881030010504881
21,72,881,2555,3508,0.9575875154538084,1.1171337261566774,1.4059427896739123
22,75,804,2168,3047,0.935478863125005,1.1737414294969168,1.6861008458374644
23,50,595,1683,2328,0.950491627172771,1.1369014734787604,1.4712340427453476
