PCON25NM,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Aberafan Maesteg,3,6,44,53,1.0815157157920714,0.5186228865474148,4.014686229145411
Aldershot,2,30,105,137,0.9984464098179955,1.003175656460328,1.0354178595849477
Aldridge-Brownhills,2,27,73,102,0.932349443939288,1.2126623376623378,1.3907083015993906
Altrincham and Sale West,2,16,29,47,0.8038151137197359,1.5595468361425808,3.0181329098539966
Alyn and Deeside,2,32,90,124,0.945533351233171,1.1822371177209887,1.143969731960789
Amber Valley,1,19,108,128,1.0991825208085613,0.6800172483766234,0.5541103389185073
Arundel and South Downs,9,52,179,240,0.9716230677764566,0.9925865800865802,2.6597296268088346
Ashfield,1,48,129,178,0.9441168218680276,1.2353713702028308,0.39846136731218496
Ashford,4,45,124,173,0.9337521392781782,1.1916335109976728,1.6399103672039057
Ashton-under-Lyne,1,22,63,86,0.9543290103144098,1.1719269102990033,0.8247223649019643
Aylesbury,2,13,116,131,1.1535667280863386,0.4546198076732428,1.0828415783445637
Banbury,5,22,76,103,0.9612412407790079,0.978502080443828,3.4430156981344138
Bangor Aberconwy,2,22,74,98,0.9836977359314713,1.0284256559766765,1.4474719057463046
Barking,1,30,202,233,1.129409603323246,0.5898500640989911,0.3044039630110254
Barnsley North,4,46,69,119,0.755367259864707,1.7708719851576995,2.384071374170384
Barnsley South,2,57,106,165,0.8369084423305589,1.58258559622196,0.8597105864432597
Barrow and Furness,0,38,107,145,0.9613284677518554,1.2005821764442455,0.0
Basildon and Billericay,0,37,99,136,0.9483143316779743,1.2463474025974026,0.0
Basingstoke,0,23,102,125,1.0630316290130797,0.842935064935065,0.0
Bassetlaw,3,50,106,159,0.8684898929845422,1.4406191292983745,1.3382287430484703
Bath,1,3,37,41,1.1756387575766365,0.33520747545137786,1.7299054483309495
Battersea,2,59,306,367,1.0862039805991959,0.7364821826674688,0.38651838355078433
Beaconsfield,5,27,100,132,0.9869203329369798,0.9370572609208974,2.686595582635187
Beckenham and Penge,1,35,154,190,1.055900869891733,0.8438995215311005,0.37329538621878383
Bedford,1,29,131,161,1.059989217214053,0.825179478906187,0.4405349278358318
Bermondsey and Old Southwark,0,55,259,314,1.074548800714951,0.8024340309372157,0.0
Bethnal Green and Stepney,0,47,345,392,1.146539590866073,0.5492727935329976,0.0
Beverley and Holderness,3,36,85,124,0.8930037206091058,1.3300167574361124,1.7159545979411837
Bexhill and Battle,6,65,148,219,0.8803870148062483,1.3597076439542193,1.9431814625087376
Bexleyheath and Crayford,0,23,138,161,1.116629862408697,0.6544526901669758,0.0
Bicester and Woodstock,1,30,58,89,0.8489732661759009,1.5442142127535385,0.7969227346243699
Birkenhead,1,39,102,142,0.9357672790608096,1.25820834095482,0.4994797421237248
Birmingham Edgbaston,1,40,174,215,1.0543063352044908,0.852310480217457,0.3298889459607857
Birmingham Erdington,3,47,202,252,1.0442557046599854,0.8544243454957742,0.8443586116853443
Birmingham Hall Green and Moseley,1,48,187,236,1.0322517583990003,0.9317631521021352,0.3005344211083429
Birmingham Hodge Hill and Solihull North,1,35,143,179,1.0407323019284038,0.8957592686642966,0.39623532615401635
Birmingham Ladywood,5,79,360,444,1.0562714914676865,0.8151178776178776,0.7987176056482986
Birmingham Northfield,1,26,91,118,1.0046514440033052,1.0094100814439797,0.6010688422166858
Birmingham Perry Barr,1,42,152,195,1.0154651056434647,0.9867132867132868,0.3637237096490714
Birmingham Selly Oak,1,23,99,123,1.0485426756764595,0.8566413261535213,0.5766351494436499
Birmingham Yardley,2,37,143,182,1.023577373874639,0.9313365206222349,0.7794079492480103
Bishop Auckland,7,31,51,89,0.7465109754305335,1.5956880198453234,5.57845914237059
Blackburn,1,69,144,214,0.8766066209563603,1.4771058380871465,0.3314304830914436
Blackley and Middleton South,0,23,58,81,0.9328224776500638,1.300825717492384,0.0
Blackpool North and Fleetwood,3,44,84,131,0.8353414237866589,1.538713195201745,1.6242623675168457
Blackpool South,2,75,167,244,0.8916258942320813,1.408146157121567,0.5813616670620404
Blaenau Gwent and Rhymney,2,18,44,64,0.8956302021403092,1.2884537337662338,2.216441355674029
Blaydon and Consett,3,19,48,70,0.8933038899269578,1.243460111317254,3.0396910020672396
Blyth and Ashington,2,26,89,117,0.9909692368669776,1.018037518037518,1.2124123654969048
Bognor Regis and Littlehampton,1,31,108,140,1.0049668761678274,1.0144016697588125,0.5066151670112066
Bolsover,5,38,123,166,0.9652794292508918,1.0487012987012987,2.136329017517136
